name,department,dept_name,state,EOW,cause,location,year
Police Officer John G. Scarangella,"New York City Police Department, NY",New York City Police Department,NY,1981-05-01,Cause of Death: Gunfire,NA,1981
Deputy Sheriff I John Valentine Trandel,"Milwaukee County Sheriff's Office, WI",Milwaukee County Sheriff's Office,WI,1981-05-01,Cause of Death: Heart attack,NA,1981
Patrolman Robert D. Mitchem,"Richland Police Department, MS",Richland Police Department,MS,1981-04-20,Cause of Death: Struck by train,NA,1981
Patrolman James L. Prieto,"Pennsylvania State Capitol Police, PA",Pennsylvania State Capitol Police,PA,1981-04-19,Cause of Death: Heart attack,NA,1981
Deputy Richard John Landes,"Palm Beach County Sheriff's Office, FL",Palm Beach County Sheriff's Office,FL,1981-04-18,Cause of Death: Vehicular assault,NA,1981
Police Officer Jose A. Zamarron,"Houston Police Department, TX",Houston Police Department,TX,1981-04-18,Cause of Death: Vehicular assault,NA,1981
Constable Thomas Dean Jahelka,"East Haddam Police Department, CT",East Haddam Police Department,CT,1981-04-17,Cause of Death: Struck by vehicle,NA,1981
Police Officer John J. O'Brien,"St. Paul Police Department, MN",St. Paul Police Department,MN,1981-04-16,Cause of Death: Vehicular assault,NA,1981
"Sergeant John Joseph ""J.J."" Brown","Savannah Police Department, GA",Savannah Police Department,GA,1981-04-14,Cause of Death: Gunfire (Inadvertent),NA,1981
Police Officer Michael Joseph Tralka,"Detroit Police Department, MI",Detroit Police Department,MI,1981-04-14,Cause of Death: Heart attack,NA,1981
Patrolman William Rankin Hickman,"Jackson Police Department, MS",Jackson Police Department,MS,1981-04-13,Cause of Death: Gunfire,NA,1981
City Marshal Harvey David Johnson,"Fouke Police Department, AR",Fouke Police Department,AR,1981-04-11,Cause of Death: Assault,NA,1981
"Trooper Robert Patrick McDermon, Sr.","Florida Highway Patrol, FL",Florida Highway Patrol,FL,1981-04-11,Cause of Death: Gunfire,NA,1981
Police Officer Wayne Richard Presley,"Downey Police Department, CA",Downey Police Department,CA,1981-04-10,Cause of Death: Vehicular assault,NA,1981
Sergeant Elmer L. Bramlett,"McLennan County Sheriff's Office, TX",McLennan County Sheriff's Office,TX,1981-04-08,Cause of Death: Automobile crash,NA,1981
"Police Officer Rodney C. ""Rocky"" Bonney","Auburn Police Department, ME",Auburn Police Department,ME,1981-04-06,Cause of Death: Drowned,NA,1981
Patrolman William Larry Whitwell,"Columbia Police Department, TN",Columbia Police Department,TN,1981-04-05,Cause of Death: Gunfire,NA,1981
"Correctional Officer Louis F. Jewett, Jr.","New Mexico Corrections Department, NM",New Mexico Corrections Department,NM,1981-04-04,Cause of Death: Stabbed,NA,1981
"Sergeant Paul Lynn Mooneyham, Sr.","Tennessee Highway Patrol, TN",Tennessee Highway Patrol,TN,1981-04-04,Cause of Death: Heart attack,NA,1981
Warden Wallace M. Pack,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas Department of Criminal Justice - Correctional Institutions Division,TX,1981-04-04,Cause of Death: Assault,NA,1981
Corrections Employee Billy M. Moore,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas Department of Criminal Justice - Correctional Institutions Division,TX,1981-04-04,Cause of Death: Gunfire,NA,1981
Sergeant Logan Laroy Scott,"Fort Myers Police Department, FL",Fort Myers Police Department,FL,1981-04-03,Cause of Death: Automobile crash,NA,1981
Corrections Employee Charles Sickles,"California Department of Corrections and Rehabilitation, CA",California Department of Corrections and Rehabilitation,CA,1981-04-01,Cause of Death: Stabbed,NA,1981
Sergeant Arthur Carroll Lane,"Sullivan County Sheriff's Office, TN",Sullivan County Sheriff's Office,TN,1981-03-30,Cause of Death: Vehicular assault,NA,1981
Patrolwoman Kathleen Garcia,"Denver Police Department, CO",Denver Police Department,CO,1981-03-28,Cause of Death: Gunfire,NA,1981
"Patrolman Joseph W. Lawlor, Jr.","North Andover Police Department, MA",North Andover Police Department,MA,1981-03-27,Cause of Death: Exposure to toxins,NA,1981
Police Officer III Philip Carl Metz,"Montgomery County Police Department, MD",Montgomery County Police Department,MD,1981-03-27,Cause of Death: Gunfire,NA,1981
Patrolman Robert W. Martin,"Conway Police Department, AR",Conway Police Department,AR,1981-03-24,Cause of Death: Gunfire,NA,1981
Police Officer Robert D. Backes,"Germantown Police Department, WI",Germantown Police Department,WI,1981-03-21,Cause of Death: Struck by vehicle,NA,1981
Chief of Police Paul Herman Mueller,"West Fork Police Department, AR",West Fork Police Department,AR,1981-03-20,Cause of Death: Gunfire,NA,1981
Patrolman Dennis Jerome Roberts,"Newport News Police Department, VA",Newport News Police Department,VA,1981-03-20,Cause of Death: Gunfire,NA,1981
Investigator Thomas L. Buck,"New York State Police, NY",New York State Police,NY,1981-03-19,Cause of Death: Duty related illness,NA,1981
Conservation Officer William Becker,"New York State Environmental Conservation Police, NY",New York State Environmental Conservation Police,NY,1981-03-11,Cause of Death: Drowned,NA,1981
Agent Chester W. Stone,"Oklahoma State Bureau of Investigation, OK",Oklahoma State Bureau of Investigation,OK,1981-03-11,Cause of Death: Heart attack,NA,1981
Deputy Sheriff Larkin V. Pettit,"DeSoto County Sheriff's Office, MS",DeSoto County Sheriff's Office,MS,1981-03-08,Cause of Death: Gunfire,NA,1981
Patrolman Henry David McCall,"Frostproof Police Department, FL",Frostproof Police Department,FL,1981-03-05,Cause of Death: Gunfire,NA,1981
"Patrolman Robert E. Marousek, Sr.","Chicago Police Department, IL",Chicago Police Department,IL,1981-02-28,Cause of Death: Heart attack,NA,1981
Deputy Sheriff Benjamin L. Green,"Grant County Sheriff's Office, NM",Grant County Sheriff's Office,NM,1981-02-28,Cause of Death: Gunfire,NA,1981
Officer John T. McCarthy,"Dallas Police Department, TX",Dallas Police Department,TX,1981-02-25,Cause of Death: Gunfire,NA,1981
Officer Paul C. Jarske,"California Highway Patrol, CA",California Highway Patrol,CA,1981-02-24,Cause of Death: Automobile crash,NA,1981
Patrolman Tony E. Swartzlander,"Bremen Police Department, IN",Bremen Police Department,IN,1981-02-22,Cause of Death: Struck by vehicle,NA,1981
Lieutenant Vernon McDowell,"San Francisco Police Department, CA",San Francisco Police Department,CA,1981-02-21,Cause of Death: Heart attack,NA,1981
Vice Commander Martin E. Slater,"Jacksonville Sheriff's Office, FL",Jacksonville Sheriff's Office,FL,1981-02-21,Cause of Death: Automobile crash,NA,1981
"Police Officer John Michael Callahan, II","Maryville Police Department, TN",Maryville Police Department,TN,1981-02-21,Cause of Death: Vehicular assault,NA,1981
Patrolman Stephen Carl Shaffer,"Dillon Police Department, MT",Dillon Police Department,MT,1981-02-14,Cause of Death: Assault,NA,1981
Sheriff Eugene Edward Kiefer,"Clear Creek County Sheriff's Office, CO",Clear Creek County Sheriff's Office,CO,1981-02-10,Cause of Death: Heart attack,NA,1981
Police Officer Gregory Player Mullinax,"Austell Police Department, GA",Austell Police Department,GA,1981-02-08,Cause of Death: Gunfire,NA,1981
"Lieutenant Ray R. ""Joe"" Clark","Washington County Sheriff's Office, OH",Washington County Sheriff's Office,OH,1981-02-07,Cause of Death: Gunfire,NA,1981
Deputy Constable Patrick Stephen Runyon,"Nueces County Constable's Office - Precinct 6, TX",Nueces County Constable's Office - Precinct 6,TX,1981-02-07,Cause of Death: Gunfire,NA,1981
Police Officer Richard F. Gipson,"Chicago Police Department, IL",Chicago Police Department,IL,1981-02-04,Cause of Death: Heart attack,NA,1981
Reserve Officer James Calvin Clifton,"Burns Police Department, OR",Burns Police Department,OR,1981-02-01,Cause of Death: Vehicular assault,NA,1981
Patrolman Stephen G. Bzdusek,"Cudahy Police Department, WI",Cudahy Police Department,WI,1981-02-01,Cause of Death: Automobile crash,NA,1981
Patrolman James R. Wert,"Ravenna Police Department, OH",Ravenna Police Department,OH,1981-01-31,Cause of Death: Vehicular assault,NA,1981
Deputy Sheriff Mark Wayne Griffin,"Grundy County Sheriff's Office, MO",Grundy County Sheriff's Office,MO,1981-01-30,Cause of Death: Gunfire,NA,1981
Chief of Police George L. Claypool,"Hurtsboro Police Department, AL",Hurtsboro Police Department,AL,1981-01-27,Cause of Death: Gunfire,NA,1981
Detective Ronnie Earl Seelye,"Louisville Police Department, KY",Louisville Police Department,KY,1981-01-27,Cause of Death: Automobile crash,NA,1981
Police Officer Dale Edson Barkley,"Columbia Police Department, SC",Columbia Police Department,SC,1981-01-27,Cause of Death: Motorcycle crash,NA,1981
Deputy Sheriff William Gene Truesdale,"Alexandria Sheriff's Office, VA",Alexandria Sheriff's Office,VA,1981-01-27,Cause of Death: Gunfire,NA,1981
Sergeant Jerry Randall Stanley,"Sophia Police Department, WV",Sophia Police Department,WV,1981-01-14,Cause of Death: Gunfire (Inadvertent),NA,1981
Chief Deputy Sheriff Charles Busby Smith,"Montgomery County Sheriff's Office, MS",Montgomery County Sheriff's Office,MS,1981-01-12,Cause of Death: Gunfire,NA,1981
Police Officer Robert E. Walsh,"New York City Police Department, NY",New York City Police Department,NY,1981-01-12,Cause of Death: Gunfire,NA,1981
Deputy Sheriff Theron Anthony Burnham,"Polk County Sheriff's Office, FL",Polk County Sheriff's Office,FL,1981-01-09,Cause of Death: Gunfire,NA,1981
Detective William Ray Tate,"Fort Smith Police Department, AR",Fort Smith Police Department,AR,1981-01-05,Cause of Death: Gunfire,NA,1981
Game Warden William Harlan Pogue,"Idaho Department of Fish and Game, ID",Idaho Department of Fish and Game,ID,1981-01-05,Cause of Death: Gunfire,NA,1981
Game Warden Wilson Conley Elms,"Idaho Department of Fish and Game, ID",Idaho Department of Fish and Game,ID,1981-01-05,Cause of Death: Gunfire,NA,1981
Deputy Sheriff Gerald L. Morris,"Marion County Sheriff's Office, IN",Marion County Sheriff's Office,IN,1981-01-02,Cause of Death: Gunfire,NA,1981
Deputy Sheriff Terry L. Baker,"Marion County Sheriff's Office, IN",Marion County Sheriff's Office,IN,1981-01-02,Cause of Death: Gunfire,NA,1981
Patrolman Lawrence Dale Coker,"Heidelberg Police Department, MS",Heidelberg Police Department,MS,1981-01-02,Cause of Death: Gunfire,NA,1981
Police Officer Jack Henry Schnell,"Titusville Police Department, FL",Titusville Police Department,FL,1982-12-31,Cause of Death: Vehicular assault,NA,1982
"Police Officer John Wesley Sykes, Jr.","Memphis Police Department, TN",Memphis Police Department,TN,1982-12-31,Cause of Death: Gunfire,NA,1982
"Corporal William L. Rose, Jr.","Arkansas State Police, AR",Arkansas State Police,AR,1982-12-28,Cause of Death: Automobile crash,NA,1982
Policeman Guadalupe Sanchez-Morales,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1982-12-25,Cause of Death: Automobile crash,NA,1982
Corrections Employee Gregory J. Gunter,"United States Department of Justice - Federal Bureau of Prisons, US",United States Department of Justice - Federal Bureau of Prisons,US,1982-12-25,Cause of Death: Stabbed,Location: Virginia,1982
Officer William S. Hart,"Hallandale Beach Police Department, FL",Hallandale Beach Police Department,FL,1982-12-22,Cause of Death: Gunfire,NA,1982
Police Officer John W. Rolcik,"Cle Elum Police Department, WA",Cle Elum Police Department,WA,1982-12-22,Cause of Death: Fall,NA,1982
Patrolman Fred Rehmer,"Fort Morgan Police Department, CO",Fort Morgan Police Department,CO,1982-12-18,Cause of Death: Automobile crash,NA,1982
Special Agent Michael James Lynch,"United States Department of Justice - Federal Bureau of Investigation, US",United States Department of Justice - Federal Bureau of Investigation,US,1982-12-16,Cause of Death: Aircraft accident,Location: Ohio,1982
Special Agent Terry Burnett Hereford,"United States Department of Justice - Federal Bureau of Investigation, US",United States Department of Justice - Federal Bureau of Investigation,US,1982-12-16,Cause of Death: Aircraft accident,Location: Ohio,1982
Special Agent Charles L. Ellington,"United States Department of Justice - Federal Bureau of Investigation, US",United States Department of Justice - Federal Bureau of Investigation,US,1982-12-16,Cause of Death: Aircraft accident,Location: Ohio,1982
Special Agent Robert W. Conners,"United States Department of Justice - Federal Bureau of Investigation, US",United States Department of Justice - Federal Bureau of Investigation,US,1982-12-16,Cause of Death: Aircraft accident,Location: Ohio,1982
Corporal Carlen Bill Stone,"West Virginia State Police, WV",West Virginia State Police,WV,1982-12-16,Cause of Death: Aircraft accident,NA,1982
Officer Robert K. Best,"Metropolitan Police Department, DC",Metropolitan Police Department,DC,1982-12-15,Cause of Death: Gunfire,Location: Maryland,1982
Criminal Warrant Officer Arturo E. Rodriguez,"Bexar County Sheriff's Office, TX",Bexar County Sheriff's Office,TX,1982-12-14,Cause of Death: Struck by vehicle,NA,1982
Patrolman Kevin Simmons,"Spencer Police Department, OK",Spencer Police Department,OK,1982-12-09,Cause of Death: Gunfire,NA,1982
Corporal Allan Dale Johnson,"Prince George's County Police Department, MD",Prince George's County Police Department,MD,1982-12-08,Cause of Death: Vehicular assault,NA,1982
Patrolman John A. Utlak,"Niles Police Department, OH",Niles Police Department,OH,1982-12-08,Cause of Death: Gunfire,NA,1982
Patrolman Mark L. Dabling,"Colorado Springs Police Department, CO",Colorado Springs Police Department,CO,1982-12-06,Cause of Death: Gunfire,NA,1982
Lieutenant Thomas F. Carney,"Connecticut State Police, CT",Connecticut State Police,CT,1982-12-06,Cause of Death: Struck by vehicle,NA,1982
Special Agent Ariel Rios,"United States Department of the Treasury - Bureau of Alcohol, Tobacco and Firearms, US",United States Department of the Treasury - Bureau of Alcohol,Tobacco and Firearms,1982-12-02,Cause of Death: Gunfire,Location: Florida,1982
"Police Officer David Peter Hampton, Sr.","Lake Charles Police Department, LA",Lake Charles Police Department,LA,1982-12-02,Cause of Death: Gunfire,NA,1982
Sheriff Gene W. Cox,"Humboldt County Sheriff's Department, CA",Humboldt County Sheriff's Department,CA,1982-11-29,Cause of Death: Gunfire,NA,1982
Conservation Officer Cecil C. Chatman,"Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries, AL",Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries,AL,1982-11-28,Cause of Death: Assault,NA,1982
Patrolman Michael Ray Williamson,"Euless Police Department, TX",Euless Police Department,TX,1982-11-28,Cause of Death: Vehicular assault,NA,1982
"Patrolman Delbert Wayne Miller, Sr.","Amarillo Police Department, TX",Amarillo Police Department,TX,1982-11-24,Cause of Death: Vehicular assault,NA,1982
"Sergeant Hamp T. McMikel, Jr.","Chicago Police Department, IL",Chicago Police Department,IL,1982-11-20,Cause of Death: Gunfire,NA,1982
Trooper William R. Bender,"Ohio State Highway Patrol, OH",Ohio State Highway Patrol,OH,1982-11-20,Cause of Death: Struck by vehicle,NA,1982
"Deputy Sheriff Roy James Fortson, Jr.","Philadelphia Sheriff's Office, PA",Philadelphia Sheriff's Office,PA,1982-11-13,Cause of Death: Gunfire,NA,1982
Deputy Sheriff Stephen Saboda,"Volusia County Sheriff's Office, FL",Volusia County Sheriff's Office,FL,1982-11-06,Cause of Death: Gunfire,NA,1982
Deputy Sheriff David G. Graves,"Fresno County Sheriff's Office, CA",Fresno County Sheriff's Office,CA,1982-11-05,Cause of Death: Vehicular assault,NA,1982
Deputy Sheriff Nelson Coleman,"St. Charles Parish Sheriff's Office, LA",St. Charles Parish Sheriff's Office,LA,1982-11-05,Cause of Death: Heart attack,NA,1982
Officer Stephen A. LePiane,"Missoula Police Department, MT",Missoula Police Department,MT,1982-11-05,Cause of Death: Vehicular assault,NA,1982
Deputy Sheriff Charles B. Lacey,"Travis County Sheriff's Office, TX",Travis County Sheriff's Office,TX,1982-11-05,Cause of Death: Gunfire,NA,1982
Detective Robert C. Taylor,"Piqua Police Department, OH",Piqua Police Department,OH,1982-11-03,Cause of Death: Heart attack,NA,1982
Police Officer Robert D. Patterson,"Birmingham Police Department, AL",Birmingham Police Department,AL,1982-10-31,Cause of Death: Gunfire (Inadvertent),NA,1982
Police Officer James N. Whittington,"New York City Police Department, NY",New York City Police Department,NY,1982-10-30,Cause of Death: Gunfire,NA,1982
"Chief of Police Jesus Rosalez, Jr.","Elsa Police Department, TX",Elsa Police Department,TX,1982-10-30,Cause of Death: Gunfire,NA,1982
Patrolman Steven B. Hiott,"Charleston County Police Department, SC",Charleston County Police Department,SC,1982-10-29,Cause of Death: Gunfire,NA,1982
Assistant Chief of Police Ricardo DeAlejandro,"Mathis Police Department, TX",Mathis Police Department,TX,1982-10-28,Cause of Death: Gunfire,NA,1982
Patrol Officer Richard Warren Walton,"Oakdale Police Department, MN",Oakdale Police Department,MN,1982-10-25,Cause of Death: Gunfire,NA,1982
Corrections Employee Joseph J. Cushman,"Illinois Department of Corrections, IL",Illinois Department of Corrections,IL,1982-10-24,Cause of Death: Assault,NA,1982
Special Officer Ronald P. Kleber,"Middletown Police Department, NJ",Middletown Police Department,NJ,1982-10-23,Cause of Death: Vehicular assault,NA,1982
Police Officer Stephen A. Taylor,"Pensacola Police Department, FL",Pensacola Police Department,FL,1982-10-19,Cause of Death: Gunfire,NA,1982
Deputy Marshal Richard E. Hart,"Firestone Police Department, CO",Firestone Police Department,CO,1982-10-18,Cause of Death: Vehicular assault,NA,1982
Special Agent Jose Juan Ofray-Vazquez,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1982-10-14,Cause of Death: Gunfire,NA,1982
"Patrolman Erskin Nelson Scarborough, Jr.","Kill Devil Hills Police Department, NC",Kill Devil Hills Police Department,NC,1982-10-12,Cause of Death: Struck by vehicle,NA,1982
Police Officer Jack Dean Hayden,"Los Angeles Police Department, CA",Los Angeles Police Department,CA,1982-10-10,Cause of Death: Gunfire,NA,1982
Warden Roy S. Bujol,"West Baton Rouge Parish Sheriff's Office, LA",West Baton Rouge Parish Sheriff's Office,LA,1982-10-06,Cause of Death: Stabbed,NA,1982
Officer Robert Paul Bolton,"Eau Claire Police Department, WI",Eau Claire Police Department,WI,1982-10-06,Cause of Death: Gunfire,NA,1982
Deputy Sheriff George J. Bent,"Chittenden County Sheriff's Department, VT",Chittenden County Sheriff's Department,VT,1982-10-01,Cause of Death: Struck by vehicle,NA,1982
Officer Michael T. Caulfield,"Forest Park Police Department, IL",Forest Park Police Department,IL,1982-09-30,Cause of Death: Gunfire,NA,1982
Police Officer John Silinsky,"Yonkers Police Department, NY",Yonkers Police Department,NY,1982-09-30,Cause of Death: Gunfire,NA,1982
Sheriff James Posey,"Franklin County Sheriff's Office, MS",Franklin County Sheriff's Office,MS,1982-09-29,Cause of Death: Gunfire,NA,1982
"Police Officer Martin E. Darcy, Jr.","Chicago Police Department, IL",Chicago Police Department,IL,1982-09-27,Cause of Death: Gunfire,NA,1982
"Sergeant John Henry Cherry, Jr.","Chesapeake Police Department, VA",Chesapeake Police Department,VA,1982-09-27,Cause of Death: Stabbed,NA,1982
"Patrolman James H. Chandler, Jr.","Fort Oglethorpe Police Department, GA",Fort Oglethorpe Police Department,GA,1982-09-25,Cause of Death: Vehicular assault,NA,1982
Trooper John P. McCarthy,"New Jersey State Police, NJ",New Jersey State Police,NJ,1982-09-25,Cause of Death: Struck by vehicle,NA,1982
Special Agent Thomas J. Devine,"United States Department of Justice - Drug Enforcement Administration, US",United States Department of Justice - Drug Enforcement Administration,US,1982-09-25,Cause of Death: Gunfire,Location: New York,1982
Deputy Sheriff William Eugene Jones,"Laurens County Sheriff's Office, SC",Laurens County Sheriff's Office,SC,1982-09-23,Cause of Death: Vehicle pursuit,NA,1982
Patrolman George R. Garza,"Bexar County Sheriff's Office, TX",Bexar County Sheriff's Office,TX,1982-09-20,Cause of Death: Automobile crash,NA,1982
Officer Donald G. Luning,"Metropolitan Police Department, DC",Metropolitan Police Department,DC,1982-09-14,Cause of Death: Gunfire,NA,1982
Police Officer Gary D. Pagano,"New Rochelle Police Department, NY",New Rochelle Police Department,NY,1982-09-14,Cause of Death: Vehicle pursuit,NA,1982
"Sergeant Ed Holcomb, Jr.","Conroe Police Department, TX",Conroe Police Department,TX,1982-09-14,Cause of Death: Gunfire,NA,1982
Patrolman Robert J. Gallant,"Berwick Police Department, ME",Berwick Police Department,ME,1982-09-11,Cause of Death: Vehicular assault,NA,1982
Deputy Sheriff Byford Henry Hunter,"Angelina County Sheriff's Office, TX",Angelina County Sheriff's Office,TX,1982-09-11,Cause of Death: Gunfire,NA,1982
Patrolman Frederick E. Offenburger,"Union Township Police Department, OH",Union Township Police Department,OH,1982-09-08,Cause of Death: Automobile crash,NA,1982
Police Officer James Gary Weber,"Cincinnati Police Department, OH",Cincinnati Police Department,OH,1982-09-08,Cause of Death: Vehicular assault,NA,1982
Reserve Deputy John B. Jamison,"Coconino County Sheriff's Department, AZ",Coconino County Sheriff's Department,AZ,1982-09-06,Cause of Death: Gunfire,NA,1982
Officer Frankie Mae Shivers,"Hollywood Police Department, FL",Hollywood Police Department,FL,1982-09-05,Cause of Death: Gunfire,NA,1982
Sergeant Vincent Tyrone Tatum,"Nevada Department of Corrections, NV",Nevada Department of Corrections,NV,1982-09-02,Cause of Death: Gunfire,NA,1982
Probation Supervisor Bjorn Thomas Svenson,"Florida Department of Corrections, FL",Florida Department of Corrections,FL,1982-08-31,Cause of Death: Gunfire,NA,1982
Sergeant James William Anderson,"Wayzata Police Department, MN",Wayzata Police Department,MN,1982-08-31,Cause of Death: Gunfire,NA,1982
Trooper Gary E. Kubasiak,"New York State Police, NY",New York State Police,NY,1982-08-30,Cause of Death: Gunfire,NA,1982
Chief of Police James K. Elder,"Mason Police Department, OH",Mason Police Department,OH,1982-08-29,Cause of Death: Automobile crash,NA,1982
Trooper Daniel W. Harris,"Utah Highway Patrol, UT",Utah Highway Patrol,UT,1982-08-25,Cause of Death: Vehicle pursuit,NA,1982
Agent Robert P. Larson,"Doña Ana County Sheriff's Office, NM",Doña Ana County Sheriff's Office,NM,1982-08-24,Cause of Death: Gunfire,NA,1982
Police Officer John F. Lynch,"Chicago Police Department, IL",Chicago Police Department,IL,1982-08-19,Cause of Death: Heart attack,NA,1982
Corporal Gordon Terry Toal,"Odessa Police Department, TX",Odessa Police Department,TX,1982-08-19,Cause of Death: Motorcycle crash,NA,1982
Police Officer Kathleen C. Schaefer,"Houston Police Department, TX",Houston Police Department,TX,1982-08-18,Cause of Death: Gunfire (Inadvertent),NA,1982
"Captain John Louis Francisco, Sr.","Richmond County Sheriff's Office, GA",Richmond County Sheriff's Office,GA,1982-08-16,Cause of Death: Gunfire,NA,1982
Policeman Angel Reyes-Zayas,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1982-08-14,Cause of Death: Gunfire,NA,1982
Officer Michael James Doyle,"United States General Services Administration - Federal Protective Service, US",United States General Services Administration - Federal Protective Service,US,1982-08-13,Cause of Death: Training accident,Location: California,1982
"Officer Leo Spicer, Jr.","Forest Hill Police Department, TX",Forest Hill Police Department,TX,1982-08-11,Cause of Death: Explosion,NA,1982
Chief Deputy Sheriff Clyde E. Hobbs,"Uvalde County Sheriff's Office, TX",Uvalde County Sheriff's Office,TX,1982-08-10,Cause of Death: Assault,NA,1982
Police Officer Donald R. Harbour,"Riley County Police Department, KS",Riley County Police Department,KS,1982-08-09,Cause of Death: Gunfire,NA,1982
"Police Officer John R. Davis, Sr.","Phoenix Police Department, AZ",Phoenix Police Department,AZ,1982-08-06,Cause of Death: Gunfire,NA,1982
Sergeant Perry Franklin Barrett,"Salamanca Police Department, NY",Salamanca Police Department,NY,1982-08-05,Cause of Death: Assault,NA,1982
Special Agent Albert J. Carino,"New Jersey Department of the Treasury - Office of Criminal Investigation, NJ",New Jersey Department of the Treasury - Office of Criminal Investigation,NJ,1982-08-04,Cause of Death: Vehicular assault,NA,1982
Patrolman Charles C. DuVernay,"Gahanna Police Department, OH",Gahanna Police Department,OH,1982-08-04,Cause of Death: Struck by vehicle,NA,1982
Officer William Lee Bowlin,"Metro Nashville Police Department, TN",Metro Nashville Police Department,TN,1982-08-04,Cause of Death: Gunfire,NA,1982
Detective Sergeant Glenn M. Sturgill,"Ashland County Sheriff's Office, OH",Ashland County Sheriff's Office,OH,1982-08-02,Cause of Death: Gunfire,NA,1982
Police Officer Cheryl W. Seiden,"Metro-Dade Police Department, FL",Metro-Dade Police Department,FL,1982-07-28,Cause of Death: Gunfire,NA,1982
Officer Gregory J. Sorenson,"Daytona Beach Police Department, FL",Daytona Beach Police Department,FL,1982-07-26,Cause of Death: Vehicular assault,NA,1982
Trooper Thomas L. Pryme,"New York State Police, NY",New York State Police,NY,1982-07-24,Cause of Death: Vehicular assault,NA,1982
Patrolman Larry A. Holder,"Algonquin Police Department, IL",Algonquin Police Department,IL,1982-07-22,Cause of Death: Drowned,NA,1982
Trooper Vicki Moreau DeVries,"Michigan State Police, MI",Michigan State Police,MI,1982-07-22,Cause of Death: Automobile crash,NA,1982
Trooper Damon L. Robichaux,"Louisiana State Police, LA",Louisiana State Police,LA,1982-07-21,Cause of Death: Gunfire (Inadvertent),NA,1982
Officer Robert W. Yesucevitz,"United States General Services Administration - Federal Protective Service, US",United States General Services Administration - Federal Protective Service,US,1982-07-20,Cause of Death: Gunfire,Location: Massachusetts,1982
Deputy Sheriff James A. Lovelace,"Lawrence County Sheriff's Department, TN",Lawrence County Sheriff's Department,TN,1982-07-18,Cause of Death: Gunfire (Inadvertent),NA,1982
Officer Dale E. Newby,"California Highway Patrol, CA",California Highway Patrol,CA,1982-07-17,Cause of Death: Gunfire,NA,1982
Sergeant John S. Macaulay,"San Francisco Police Department, CA",San Francisco Police Department,CA,1982-07-16,Cause of Death: Gunfire,NA,1982
Patrolman Paul Michael Kennefick,"Metropolitan Police Department, MA",Metropolitan Police Department,MA,1982-07-14,Cause of Death: Vehicular assault,NA,1982
Officer James D. Harris,"Houston Police Department, TX",Houston Police Department,TX,1982-07-13,Cause of Death: Gunfire,NA,1982
Deputy Sheriff Edward Raymond Claude,"Jasper County Sheriff's Department, TX",Jasper County Sheriff's Department,TX,1982-07-09,Cause of Death: Assault,NA,1982
Deputy Sheriff James W. Taylor,"Winston County Sheriff's Office, AL",Winston County Sheriff's Office,AL,1982-07-07,Cause of Death: Gunfire,NA,1982
"Trooper Robert John Lather, II","Indiana State Police, IN",Indiana State Police,IN,1982-07-06,Cause of Death: Vehicular assault,NA,1982
Reserve Deputy Sheriff Robert Lee Nicholson,"Wilcox County Sheriff's Department, AL",Wilcox County Sheriff's Department,AL,1982-07-04,Cause of Death: Gunfire,NA,1982
Lieutenant Ralph Byron Bentley,"Heflin Police Department, AL",Heflin Police Department,AL,1982-07-03,Cause of Death: Struck by vehicle,NA,1982
Deputy Sheriff James Terry Garrison,"Jefferson County Sheriff's Department, MO",Jefferson County Sheriff's Department,MO,1982-07-03,Cause of Death: Vehicle pursuit,NA,1982
Police Officer Ignacio Gonzales Conchos,"Phoenix Police Department, AZ",Phoenix Police Department,AZ,1982-07-01,Cause of Death: Gunfire,NA,1982
Patrol Officer Ernest Coleman,"Charlotte Police Department, NC",Charlotte Police Department,NC,1982-07-01,Cause of Death: Gunfire,NA,1982
Constable Tommy M. Harper,"Spring Township Constable's Office, AR",Spring Township Constable's Office,AR,1982-06-25,Cause of Death: Struck by vehicle,NA,1982
Police Officer Gary Dean Moss,"Hermosa Beach Police Department, CA",Hermosa Beach Police Department,CA,1982-06-24,Cause of Death: Vehicular assault,NA,1982
Detective Sergeant Samuel A. Hicks,"King County Sheriff's Office, WA",King County Sheriff's Office,WA,1982-06-24,Cause of Death: Gunfire,NA,1982
Patrolman Michael Bruce Keen,"Muldrow Police Department, OK",Muldrow Police Department,OK,1982-06-23,Cause of Death: Vehicle pursuit,NA,1982
Deputy Sheriff Ray Edward Kovar,"Dallas County Sheriff's Department, TX",Dallas County Sheriff's Department,TX,1982-06-20,Cause of Death: Gunfire,NA,1982
Policeman Ricardo Silva-Morales,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1982-06-18,Cause of Death: Gunfire,NA,1982
"Regional Administrator Rodolfo Felix Guillen, Jr.","Virginia Department of Corrections, VA",Virginia Department of Corrections,VA,1982-06-14,Cause of Death: Gunfire,NA,1982
